2025-08-20T12:55:06.711320,IW25030940,-96
2025-08-20T12:55:09.636148,IW25030940,-99
2025-08-20T12:55:16.986283,IW25030940,-94
2025-08-20T12:55:17.476352,IW25030940,-96
2025-08-20T12:55:18.464018,IW25030940,-88
2025-08-20T12:55:19.447192,IW25030940,-93
2025-08-20T12:55:21.443333,IW25030940,-89
2025-08-20T12:55:24.371788,IW25030940,-81
2025-08-20T12:55:24.859127,IW25030940,-88
2025-08-20T12:55:26.306647,IW25030940,-83
2025-08-20T12:55:27.292132,IW25030940,-96
2025-08-20T12:55:28.787337,IW25030940,-90
2025-08-20T12:55:08.155114,IW25030942,-94
2025-08-20T12:55:09.126887,IW25030942,-82
2025-08-20T12:55:20.988543,IW25030942,-102
2025-08-20T12:55:10.071292,IW25030939,-91
2025-08-20T12:55:13.128092,IW25030939,-93
2025-08-20T12:55:14.607651,IW25030939,-98
2025-08-20T12:55:15.633503,IW25030939,-89
2025-08-20T12:55:17.146398,IW25030939,-102
2025-08-20T12:55:17.649805,IW25030939,-91
2025-08-20T12:55:19.202104,IW25030939,-100
2025-08-20T12:55:22.745692,IW25030939,-87
2025-08-20T12:55:25.269866,IW25030939,-85
2025-08-20T12:55:26.794704,IW25030939,-78
2025-08-20T12:55:28.787977,IW25030939,-76
2025-08-20T12:55:30.309197,IW25030939,-71
2025-08-20T12:55:31.329065,IW25030939,-74
2025-08-20T12:55:33.328247,IW25030939,-80
2025-08-20T12:55:34.856575,IW25030939,-96
2025-08-20T12:55:38.925102,IW25030939,-102
2025-08-20T12:55:40.450998,IW25030939,-97
2025-08-20T12:55:41.964276,IW25030939,-103
2025-08-20T12:55:42.959400,IW25030939,-96
2025-08-20T12:55:10.230966,IW25030975,-99
2025-08-20T12:55:12.264483,IW25030975,-98
2025-08-20T12:55:15.303895,IW25030975,-96
2025-08-20T12:55:17.816941,IW25030975,-101
2025-08-20T12:55:21.819338,IW25030975,-99
2025-08-20T12:55:23.884850,IW25030975,-97
2025-08-20T12:55:24.400009,IW25030975,-87
2025-08-20T12:55:29.880369,IW25030975,-99
2025-08-20T12:55:10.535570,IW25030943,-102
2025-08-20T12:55:11.036347,IW25030943,-102
2025-08-20T12:55:25.270195,IW25030943,-99
2025-08-20T12:55:31.343082,IW25030943,-94
2025-08-20T12:55:32.903918,IW25030943,-102
2025-08-20T12:55:34.401514,IW25030943,-97
2025-08-20T12:55:35.925662,IW25030943,-90
2025-08-20T12:55:36.438018,IW25030943,-92
2025-08-20T12:55:37.946303,IW25030943,-88
2025-08-20T12:55:38.452672,IW25030943,-91
2025-08-20T12:55:40.486249,IW25030943,-92
2025-08-20T12:55:46.587272,IW25030943,-74
2025-08-20T12:55:48.578528,IW25030943,-72
2025-08-20T12:55:49.589779,IW25030943,-88
2025-08-20T12:55:51.648720,IW25030943,-89
2025-08-20T12:55:54.168611,IW25030943,-99
2025-08-20T12:55:10.999480,IW25030941,-86
2025-08-20T12:55:11.948687,IW25030941,-81
2025-08-20T12:55:13.955215,IW25030941,-77
2025-08-20T12:55:16.952459,IW25030941,-81
2025-08-20T12:55:17.473700,IW25030941,-91
2025-08-20T12:55:18.463664,IW25030941,-81
2025-08-20T12:55:18.975121,IW25030941,-89
2025-08-20T12:55:20.979569,IW25030941,-93
2025-08-20T12:55:21.475464,IW25030941,-102
2025-08-20T12:55:27.491274,IW25030941,-99
2025-08-20T12:55:13.951623,IW25030976,-96
2025-08-20T12:55:20.980540,IW25030976,-101
2025-08-20T12:55:25.501043,IW25030976,-98
2025-08-20T12:55:14.286858,IW25030974,-93
2025-08-20T12:55:16.812120,IW25030974,-97
2025-08-20T12:55:19.824057,IW25030974,-95
2025-08-20T12:55:21.843490,IW25030974,-97
2025-08-20T12:55:23.885276,IW25030974,-100
2025-08-20T12:55:27.928660,IW25030974,-101
2025-08-20T12:55:29.945765,IW25030974,-99
2025-08-20T12:55:19.817263,IW25030973,-98
2025-08-20T12:55:22.348103,IW25030973,-100
2025-08-20T12:55:26.839122,IW25030973,-100
2025-08-20T12:55:34.355106,IW25030973,-99
2025-08-20T12:55:24.633689,IW25030972,-100
2025-08-20T12:55:25.438211,IW25030938,-97
2025-08-20T12:55:29.938142,IW25030938,-96
2025-08-20T12:55:33.975724,IW25030938,-91
2025-08-20T12:55:35.491309,IW25030938,-79
2025-08-20T12:55:36.988288,IW25030938,-88
2025-08-20T12:55:37.513666,IW25030938,-85
2025-08-20T12:55:39.552393,IW25030938,-77
2025-08-20T12:55:40.087959,IW25030938,-93
2025-08-20T12:55:44.134751,IW25030938,-93
2025-08-20T12:55:26.075924,IW25030971,-94
2025-08-20T12:55:35.082978,IW25030971,-101
2025-08-20T12:55:45.101703,IW25030971,-100
2025-08-20T12:55:46.118317,IW25030971,-98
2025-08-20T12:55:51.160456,IW25030971,-94
2025-08-20T12:55:53.154195,IW25030971,-98
